diagnosis_fine,acute_blastic__myeloid_oriented,indeterminate,non_leukemic,out_of_domain,n,abstention
AL,2,0,0,0,2,0.0
ALL,3,1,1,2,7,0.143
AML,17,10,3,7,37,0.27
B-cell neoplasm,16,22,12,3,53,0.415
CML,0,5,1,2,8,0.625
CMML,1,7,4,2,14,0.5
ET,0,1,1,1,3,0.333
HCL,1,1,0,1,3,0.333
MDS,1,20,7,10,38,0.526
MDS / MPN,0,3,2,1,6,0.5
MM,4,24,21,7,56,0.429
MPN,0,9,23,4,36,0.25
MPN / MDS-RS-T,0,0,1,1,2,0.0
PCL,0,0,0,1,1,0.0
PV,0,0,0,1,1,0.0
Reactive changes,3,13,23,3,42,0.31
Stem cell donor,4,66,29,0,99,0.667
T-cell neoplasm,0,0,1,0,1,0.0
