index,precision,recall,f1-score,support
myeloblast,0.6417337936325278,0.874085684430512,0.7401017474010175,1914.0
lymphoblast,0.5454545454545454,0.5594149908592322,0.5523465703971119,547.0
promyelocyte,0.675392670157068,0.7771084337349398,0.7226890756302521,166.0
promyelocyte_abnormal,0.2542372881355932,0.028735632183908046,0.05163511187607573,522.0
myelocyte,0.6204287515762925,0.7465857359635811,0.6776859504132231,659.0
metamyelocyte,0.5061728395061729,0.6699346405228758,0.5766526019690577,306.0
band_neutrophil,0.5126984126984127,0.9022346368715084,0.6538461538461539,358.0
segmented_neutrophil,0.9519725557461407,0.8486238532110092,0.8973322554567502,3924.0
basophil,0.9656488549618321,0.9233576642335767,0.9440298507462687,274.0
eosinophil,0.9044740024183797,0.9055690072639225,0.9050211736237145,826.0
monocyte,0.7848639455782312,0.7121913580246914,0.7467637540453075,1296.0
lymphocyte,0.9579335793357934,0.8412184057031756,0.8957902001380262,1543.0
lymphocyte_atypical,0.9067431850789096,0.8359788359788359,0.8699242945629732,756.0
smudge_cell,0.8214285714285714,0.8702702702702703,0.8451443569553806,185.0
erythroblast,0.9411764705882353,0.989247311827957,0.9646133682830931,372.0
other_artifact,1.0,1.0,1.0,473.0
accuracy,0.8022802917640394,0.8022802917640394,0.8022802917640394,0.8022802917640394
macro avg,0.7493974666435441,0.7802847788174997,0.7527235290840253,14121.0
weighted avg,0.8088552666974793,0.8022802917640394,0.7963982779407818,14121.0
