crop_id,source_image,crop_path,score,class_id,x1,y1,x2,y2,padding
field000_18_10_1000_ALL_wbc_0000,<FIELDS>/18_10_1000_ALL.png,crops/field000_18_10_1000_ALL_wbc_0000.png,0.7598537802696228,0,519,460,610,566,0.1
field001_18_15_1000_ALL_wbc_0000,<FIELDS>/18_15_1000_ALL.png,crops/field001_18_15_1000_ALL_wbc_0000.png,0.7746554017066956,0,480,523,572,634,0.1
field001_18_15_1000_ALL_wbc_0001,<FIELDS>/18_15_1000_ALL.png,crops/field001_18_15_1000_ALL_wbc_0001.png,0.748044490814209,0,224,245,322,365,0.1
field002_18_26_1000_ALL_wbc_0000,<FIELDS>/18_26_1000_ALL.png,crops/field002_18_26_1000_ALL_wbc_0000.png,0.7762759327888489,0,489,358,580,473,0.1
field003_18_32_1000_ALL_wbc_0000,<FIELDS>/18_32_1000_ALL.png,crops/field003_18_32_1000_ALL_wbc_0000.png,0.7435364723205566,0,322,66,407,173,0.1
field004_18_33_1000_ALL_wbc_0000,<FIELDS>/18_33_1000_ALL.png,crops/field004_18_33_1000_ALL_wbc_0000.png,0.8092187643051147,0,442,479,556,629,0.1
field004_18_33_1000_ALL_wbc_0001,<FIELDS>/18_33_1000_ALL.png,crops/field004_18_33_1000_ALL_wbc_0001.png,0.8008742928504944,0,267,125,365,254,0.1
field005_18_4_1000_ALL_wbc_0000,<FIELDS>/18_4_1000_ALL.png,crops/field005_18_4_1000_ALL_wbc_0000.png,0.7775958776473999,0,3,390,85,494,0.1
field005_18_4_1000_ALL_wbc_0001,<FIELDS>/18_4_1000_ALL.png,crops/field005_18_4_1000_ALL_wbc_0001.png,0.7378992438316345,0,53,414,140,517,0.1
field005_18_4_1000_ALL_wbc_0002,<FIELDS>/18_4_1000_ALL.png,crops/field005_18_4_1000_ALL_wbc_0002.png,0.595817506313324,0,0,487,26,589,0.1
field006_18_8_1000_ALL_wbc_0000,<FIELDS>/18_8_1000_ALL.png,crops/field006_18_8_1000_ALL_wbc_0000.png,0.7852789163589478,0,497,445,590,568,0.1
field006_18_8_1000_ALL_wbc_0001,<FIELDS>/18_8_1000_ALL.png,crops/field006_18_8_1000_ALL_wbc_0001.png,0.7703554034233093,0,424,366,515,485,0.1
field007_4_103_1000_ALL_wbc_0000,<FIELDS>/4_103_1000_ALL.png,crops/field007_4_103_1000_ALL_wbc_0000.png,0.7733251452445984,0,434,219,539,351,0.1
field008_4_105_1000_ALL_wbc_0000,<FIELDS>/4_105_1000_ALL.png,crops/field008_4_105_1000_ALL_wbc_0000.png,0.7599318027496338,0,412,247,510,372,0.1
field009_4_18_1000_ALL_wbc_0000,<FIELDS>/4_18_1000_ALL.png,crops/field009_4_18_1000_ALL_wbc_0000.png,0.7939373850822449,0,396,530,497,639,0.1
field009_4_18_1000_ALL_wbc_0001,<FIELDS>/4_18_1000_ALL.png,crops/field009_4_18_1000_ALL_wbc_0001.png,0.7506483793258667,0,521,326,620,459,0.1
field009_4_18_1000_ALL_wbc_0002,<FIELDS>/4_18_1000_ALL.png,crops/field009_4_18_1000_ALL_wbc_0002.png,0.7383430600166321,0,405,442,490,541,0.1
field009_4_18_1000_ALL_wbc_0003,<FIELDS>/4_18_1000_ALL.png,crops/field009_4_18_1000_ALL_wbc_0003.png,0.7324382662773132,0,194,281,268,375,0.1
field009_4_18_1000_ALL_wbc_0004,<FIELDS>/4_18_1000_ALL.png,crops/field009_4_18_1000_ALL_wbc_0004.png,0.41366416215896606,0,242,0,333,85,0.1
field010_4_29_1000_ALL_wbc_0000,<FIELDS>/4_29_1000_ALL.png,crops/field010_4_29_1000_ALL_wbc_0000.png,0.7750794887542725,0,507,42,612,169,0.1
field010_4_29_1000_ALL_wbc_0001,<FIELDS>/4_29_1000_ALL.png,crops/field010_4_29_1000_ALL_wbc_0001.png,0.7552744150161743,0,491,498,589,621,0.1
field010_4_29_1000_ALL_wbc_0002,<FIELDS>/4_29_1000_ALL.png,crops/field010_4_29_1000_ALL_wbc_0002.png,0.615587592124939,0,299,0,389,52,0.1
field011_4_34_1000_ALL_wbc_0000,<FIELDS>/4_34_1000_ALL.png,crops/field011_4_34_1000_ALL_wbc_0000.png,0.7567206025123596,0,546,121,639,257,0.1
field011_4_34_1000_ALL_wbc_0001,<FIELDS>/4_34_1000_ALL.png,crops/field011_4_34_1000_ALL_wbc_0001.png,0.2188350111246109,0,98,384,182,492,0.1
field012_4_37_1000_ALL_wbc_0000,<FIELDS>/4_37_1000_ALL.png,crops/field012_4_37_1000_ALL_wbc_0000.png,0.7672168612480164,0,161,443,259,545,0.1
field013_4_38_1000_ALL_wbc_0000,<FIELDS>/4_38_1000_ALL.png,crops/field013_4_38_1000_ALL_wbc_0000.png,0.8046190142631531,0,24,304,118,421,0.1
field013_4_38_1000_ALL_wbc_0001,<FIELDS>/4_38_1000_ALL.png,crops/field013_4_38_1000_ALL_wbc_0001.png,0.2470700442790985,0,531,11,613,108,0.1
field014_4_41_1000_ALL_wbc_0000,<FIELDS>/4_41_1000_ALL.png,crops/field014_4_41_1000_ALL_wbc_0000.png,0.6034727692604065,0,320,497,402,604,0.1
field014_4_41_1000_ALL_wbc_0001,<FIELDS>/4_41_1000_ALL.png,crops/field014_4_41_1000_ALL_wbc_0001.png,0.2680642306804657,0,453,177,530,289,0.1
field014_4_41_1000_ALL_wbc_0002,<FIELDS>/4_41_1000_ALL.png,crops/field014_4_41_1000_ALL_wbc_0002.png,0.21373987197875977,0,66,59,129,145,0.1
field015_4_42_1000_ALL_wbc_0000,<FIELDS>/4_42_1000_ALL.png,crops/field015_4_42_1000_ALL_wbc_0000.png,0.7960624694824219,0,470,104,562,224,0.1
field015_4_42_1000_ALL_wbc_0001,<FIELDS>/4_42_1000_ALL.png,crops/field015_4_42_1000_ALL_wbc_0001.png,0.717240035533905,0,314,548,388,639,0.1
field015_4_42_1000_ALL_wbc_0002,<FIELDS>/4_42_1000_ALL.png,crops/field015_4_42_1000_ALL_wbc_0002.png,0.40989112854003906,0,524,210,587,298,0.1
field016_4_50_1000_ALL_wbc_0000,<FIELDS>/4_50_1000_ALL.png,crops/field016_4_50_1000_ALL_wbc_0000.png,0.7697271704673767,0,125,544,210,639,0.1
field017_4_51_1000_ALL_wbc_0000,<FIELDS>/4_51_1000_ALL.png,crops/field017_4_51_1000_ALL_wbc_0000.png,0.7853693962097168,0,540,500,639,639,0.1
field018_4_76_1000_ALL_wbc_0000,<FIELDS>/4_76_1000_ALL.png,crops/field018_4_76_1000_ALL_wbc_0000.png,0.7359604239463806,0,560,183,639,305,0.1
field018_4_76_1000_ALL_wbc_0001,<FIELDS>/4_76_1000_ALL.png,crops/field018_4_76_1000_ALL_wbc_0001.png,0.7070473432540894,0,285,289,368,391,0.1
field019_4_86_1000_ALL_wbc_0000,<FIELDS>/4_86_1000_ALL.png,crops/field019_4_86_1000_ALL_wbc_0000.png,0.7905175089836121,0,385,500,478,611,0.1
field019_4_86_1000_ALL_wbc_0001,<FIELDS>/4_86_1000_ALL.png,crops/field019_4_86_1000_ALL_wbc_0001.png,0.38554102182388306,0,52,589,127,639,0.1
field020_4_92_1000_ALL_wbc_0000,<FIELDS>/4_92_1000_ALL.png,crops/field020_4_92_1000_ALL_wbc_0000.png,0.7662175297737122,0,443,522,536,639,0.1
field020_4_92_1000_ALL_wbc_0001,<FIELDS>/4_92_1000_ALL.png,crops/field020_4_92_1000_ALL_wbc_0001.png,0.7334317564964294,0,67,503,157,615,0.1
field020_4_92_1000_ALL_wbc_0002,<FIELDS>/4_92_1000_ALL.png,crops/field020_4_92_1000_ALL_wbc_0002.png,0.6045656204223633,0,394,49,477,146,0.1
field020_4_92_1000_ALL_wbc_0003,<FIELDS>/4_92_1000_ALL.png,crops/field020_4_92_1000_ALL_wbc_0003.png,0.3803398311138153,0,0,260,24,358,0.1
field021_4_97_1000_ALL_wbc_0000,<FIELDS>/4_97_1000_ALL.png,crops/field021_4_97_1000_ALL_wbc_0000.png,0.7993677258491516,0,206,498,297,614,0.1
field022_6_11_1000_ALL_wbc_0000,<FIELDS>/6_11_1000_ALL.png,crops/field022_6_11_1000_ALL_wbc_0000.png,0.7928268909454346,0,0,253,91,389,0.1
field023_6_26_1000_ALL_wbc_0000,<FIELDS>/6_26_1000_ALL.png,crops/field023_6_26_1000_ALL_wbc_0000.png,0.8051245808601379,0,213,192,302,315,0.1
field023_6_26_1000_ALL_wbc_0001,<FIELDS>/6_26_1000_ALL.png,crops/field023_6_26_1000_ALL_wbc_0001.png,0.31887733936309814,0,477,401,574,514,0.1
field024_6_27_1000_ALL_wbc_0000,<FIELDS>/6_27_1000_ALL.png,crops/field024_6_27_1000_ALL_wbc_0000.png,0.502272367477417,0,142,466,251,609,0.1
field025_6_2_1000_ALL_wbc_0000,<FIELDS>/6_2_1000_ALL.png,crops/field025_6_2_1000_ALL_wbc_0000.png,0.746981680393219,0,377,350,457,457,0.1
field026_6_37_1000_ALL_wbc_0000,<FIELDS>/6_37_1000_ALL.png,crops/field026_6_37_1000_ALL_wbc_0000.png,0.7804731130599976,0,418,453,512,580,0.1
field027_6_39_1000_ALL_wbc_0000,<FIELDS>/6_39_1000_ALL.png,crops/field027_6_39_1000_ALL_wbc_0000.png,0.7482567429542542,0,26,257,145,430,0.1
field028_6_45_1000_ALL_wbc_0000,<FIELDS>/6_45_1000_ALL.png,crops/field028_6_45_1000_ALL_wbc_0000.png,0.6342105269432068,0,602,480,639,585,0.1
field028_6_45_1000_ALL_wbc_0001,<FIELDS>/6_45_1000_ALL.png,crops/field028_6_45_1000_ALL_wbc_0001.png,0.6253092885017395,0,595,290,639,380,0.1
field029_6_46_1000_ALL_wbc_0000,<FIELDS>/6_46_1000_ALL.png,crops/field029_6_46_1000_ALL_wbc_0000.png,0.8133730292320251,0,183,441,273,571,0.1
field029_6_46_1000_ALL_wbc_0001,<FIELDS>/6_46_1000_ALL.png,crops/field029_6_46_1000_ALL_wbc_0001.png,0.6005241870880127,0,137,88,223,200,0.1
field030_6_50_1000_ALL_wbc_0000,<FIELDS>/6_50_1000_ALL.png,crops/field030_6_50_1000_ALL_wbc_0000.png,0.7771660685539246,0,121,495,227,633,0.1
field030_6_50_1000_ALL_wbc_0001,<FIELDS>/6_50_1000_ALL.png,crops/field030_6_50_1000_ALL_wbc_0001.png,0.7497058510780334,0,55,96,129,197,0.1
field031_6_52_1000_ALL_wbc_0000,<FIELDS>/6_52_1000_ALL.png,crops/field031_6_52_1000_ALL_wbc_0000.png,0.7587124109268188,0,326,494,399,607,0.1
field032_6_54_1000_ALL_wbc_0000,<FIELDS>/6_54_1000_ALL.png,crops/field032_6_54_1000_ALL_wbc_0000.png,0.7824827432632446,0,236,351,353,518,0.1
field032_6_54_1000_ALL_wbc_0001,<FIELDS>/6_54_1000_ALL.png,crops/field032_6_54_1000_ALL_wbc_0001.png,0.5865578055381775,0,332,279,435,410,0.1
field033_6_56_1000_ALL_wbc_0000,<FIELDS>/6_56_1000_ALL.png,crops/field033_6_56_1000_ALL_wbc_0000.png,0.8066951036453247,0,442,303,575,447,0.1
field034_6_8_1000_ALL_wbc_0000,<FIELDS>/6_8_1000_ALL.png,crops/field034_6_8_1000_ALL_wbc_0000.png,0.7553783059120178,0,419,339,494,449,0.1
field035_8_12_1000_ALL_wbc_0000,<FIELDS>/8_12_1000_ALL.png,crops/field035_8_12_1000_ALL_wbc_0000.png,0.7482579946517944,0,448,187,519,286,0.1
field035_8_12_1000_ALL_wbc_0001,<FIELDS>/8_12_1000_ALL.png,crops/field035_8_12_1000_ALL_wbc_0001.png,0.6468358635902405,0,458,370,531,470,0.1
field036_8_14_1000_ALL_wbc_0000,<FIELDS>/8_14_1000_ALL.png,crops/field036_8_14_1000_ALL_wbc_0000.png,0.7393701672554016,0,113,294,194,393,0.1
field037_8_15_1000_ALL_wbc_0000,<FIELDS>/8_15_1000_ALL.png,crops/field037_8_15_1000_ALL_wbc_0000.png,0.7279165387153625,0,266,303,340,399,0.1
field038_8_16_1000_ALL_wbc_0000,<FIELDS>/8_16_1000_ALL.png,crops/field038_8_16_1000_ALL_wbc_0000.png,0.732693076133728,0,82,228,168,349,0.1
field039_8_20_1000_ALL_wbc_0000,<FIELDS>/8_20_1000_ALL.png,crops/field039_8_20_1000_ALL_wbc_0000.png,0.7444701790809631,0,201,309,268,397,0.1
field040_8_27_1000_ALL_wbc_0000,<FIELDS>/8_27_1000_ALL.png,crops/field040_8_27_1000_ALL_wbc_0000.png,0.7664817571640015,0,335,56,408,150,0.1
field040_8_27_1000_ALL_wbc_0001,<FIELDS>/8_27_1000_ALL.png,crops/field040_8_27_1000_ALL_wbc_0001.png,0.711460292339325,0,192,446,284,558,0.1
field040_8_27_1000_ALL_wbc_0002,<FIELDS>/8_27_1000_ALL.png,crops/field040_8_27_1000_ALL_wbc_0002.png,0.5521893501281738,0,379,317,441,397,0.1
field041_8_28_1000_ALL_wbc_0000,<FIELDS>/8_28_1000_ALL.png,crops/field041_8_28_1000_ALL_wbc_0000.png,0.6947449445724487,0,426,363,520,479,0.1
field041_8_28_1000_ALL_wbc_0001,<FIELDS>/8_28_1000_ALL.png,crops/field041_8_28_1000_ALL_wbc_0001.png,0.6486229300498962,0,319,181,396,279,0.1
