crop_id,source_image,crop_path,score,class_id,x1,y1,x2,y2,padding
field000_slide_20260908_111528_094_wbc_0000,<FIELDS>/slide_20260908_111528_094.jpg,crops/field000_slide_20260908_111528_094_wbc_0000.png,0.802104115486145,0,1199,1552,1449,1812,0.1
field000_slide_20260908_111528_094_wbc_0001,<FIELDS>/slide_20260908_111528_094.jpg,crops/field000_slide_20260908_111528_094_wbc_0001.png,0.7142115831375122,0,0,1398,261,1679,0.1
field000_slide_20260908_111528_094_wbc_0002,<FIELDS>/slide_20260908_111528_094.jpg,crops/field000_slide_20260908_111528_094_wbc_0002.png,0.5401434898376465,0,2058,1003,2303,1257,0.1
field000_slide_20260908_111528_094_wbc_0003,<FIELDS>/slide_20260908_111528_094.jpg,crops/field000_slide_20260908_111528_094_wbc_0003.png,0.4938262104988098,0,0,2298,236,2612,0.1
field001_slide_20260908_111612_432_wbc_0000,<FIELDS>/slide_20260908_111612_432.jpg,crops/field001_slide_20260908_111612_432_wbc_0000.png,0.8108922839164734,0,2785,1071,3094,1371,0.1
field001_slide_20260908_111612_432_wbc_0001,<FIELDS>/slide_20260908_111612_432.jpg,crops/field001_slide_20260908_111612_432_wbc_0001.png,0.7859801054000854,0,2331,938,2634,1247,0.1
field002_slide_20260908_111632_627_wbc_0000,<FIELDS>/slide_20260908_111632_627.jpg,crops/field002_slide_20260908_111632_627_wbc_0000.png,0.7741297483444214,0,2211,2169,2528,2483,0.1
field002_slide_20260908_111632_627_wbc_0001,<FIELDS>/slide_20260908_111632_627.jpg,crops/field002_slide_20260908_111632_627_wbc_0001.png,0.6707011461257935,0,1930,140,2245,439,0.1
field002_slide_20260908_111632_627_wbc_0002,<FIELDS>/slide_20260908_111632_627.jpg,crops/field002_slide_20260908_111632_627_wbc_0002.png,0.4489155411720276,0,1175,732,1477,1007,0.1
field003_slide_20260908_111720_042_wbc_0000,<FIELDS>/slide_20260908_111720_042.jpg,crops/field003_slide_20260908_111720_042_wbc_0000.png,0.7985600233078003,0,3794,615,4031,937,0.1
field004_slide_20260908_111739_342_wbc_0000,<FIELDS>/slide_20260908_111739_342.jpg,crops/field004_slide_20260908_111739_342_wbc_0000.png,0.8040635585784912,0,1344,645,1636,960,0.1
field005_slide_20260908_112010_450_wbc_0000,<FIELDS>/slide_20260908_112010_450.jpg,crops/field005_slide_20260908_112010_450_wbc_0000.png,0.7943947315216064,0,1142,1030,1473,1357,0.1
field005_slide_20260908_112010_450_wbc_0001,<FIELDS>/slide_20260908_112010_450.jpg,crops/field005_slide_20260908_112010_450_wbc_0001.png,0.7080899477005005,0,2134,857,2456,1258,0.1
field006_slide_20260908_112113_439_wbc_0000,<FIELDS>/slide_20260908_112113_439.jpg,crops/field006_slide_20260908_112113_439_wbc_0000.png,0.7794787287712097,0,2600,2656,2960,3034,0.1
field006_slide_20260908_112113_439_wbc_0001,<FIELDS>/slide_20260908_112113_439.jpg,crops/field006_slide_20260908_112113_439_wbc_0001.png,0.6743581891059875,0,1987,143,2305,512,0.1
field007_slide_20260908_112131_362_wbc_0000,<FIELDS>/slide_20260908_112131_362.jpg,crops/field007_slide_20260908_112131_362_wbc_0000.png,0.8583360910415649,0,3331,291,3658,616,0.1
field008_slide_20260908_112210_925_wbc_0000,<FIELDS>/slide_20260908_112210_925.jpg,crops/field008_slide_20260908_112210_925_wbc_0000.png,0.7770335674285889,0,192,920,621,1338,0.1
field008_slide_20260908_112210_925_wbc_0001,<FIELDS>/slide_20260908_112210_925.jpg,crops/field008_slide_20260908_112210_925_wbc_0001.png,0.7389116287231445,0,828,1813,1161,2125,0.1
field009_slide_20260908_112557_080_wbc_0000,<FIELDS>/slide_20260908_112557_080.jpg,crops/field009_slide_20260908_112557_080_wbc_0000.png,0.7608740925788879,0,991,1105,1335,1452,0.1
field010_slide_20260908_112619_343_wbc_0000,<FIELDS>/slide_20260908_112619_343.jpg,crops/field010_slide_20260908_112619_343_wbc_0000.png,0.3440518081188202,0,685,2552,963,2810,0.1
field011_slide_20260908_112655_673_wbc_0000,<FIELDS>/slide_20260908_112655_673.jpg,crops/field011_slide_20260908_112655_673_wbc_0000.png,0.5091350078582764,0,3017,1260,3338,1563,0.1
field012_slide_20260908_112725_564_wbc_0000,<FIELDS>/slide_20260908_112725_564.jpg,crops/field012_slide_20260908_112725_564_wbc_0000.png,0.7494643330574036,0,591,2104,908,2477,0.1
field013_slide_20260908_112808_918_wbc_0000,<FIELDS>/slide_20260908_112808_918.jpg,crops/field013_slide_20260908_112808_918_wbc_0000.png,0.8301998376846313,0,1746,1444,2125,1831,0.1
field014_slide_20260908_113033_282_wbc_0000,<FIELDS>/slide_20260908_113033_282.jpg,crops/field014_slide_20260908_113033_282_wbc_0000.png,0.8354642987251282,0,2850,2719,3126,2974,0.1
field014_slide_20260908_113033_282_wbc_0001,<FIELDS>/slide_20260908_113033_282.jpg,crops/field014_slide_20260908_113033_282_wbc_0001.png,0.817220151424408,0,1980,1956,2258,2245,0.1
field014_slide_20260908_113033_282_wbc_0002,<FIELDS>/slide_20260908_113033_282.jpg,crops/field014_slide_20260908_113033_282_wbc_0002.png,0.6913657784461975,0,1492,1086,1777,1360,0.1
field014_slide_20260908_113033_282_wbc_0003,<FIELDS>/slide_20260908_113033_282.jpg,crops/field014_slide_20260908_113033_282_wbc_0003.png,0.6660552024841309,0,1962,1596,2272,1878,0.1
field014_slide_20260908_113033_282_wbc_0004,<FIELDS>/slide_20260908_113033_282.jpg,crops/field014_slide_20260908_113033_282_wbc_0004.png,0.6309179663658142,0,1945,2785,2214,3039,0.1
field014_slide_20260908_113033_282_wbc_0005,<FIELDS>/slide_20260908_113033_282.jpg,crops/field014_slide_20260908_113033_282_wbc_0005.png,0.4027582108974457,0,1026,770,1275,1031,0.1
field015_slide_20260908_113042_253_wbc_0000,<FIELDS>/slide_20260908_113042_253.jpg,crops/field015_slide_20260908_113042_253_wbc_0000.png,0.7019983530044556,0,989,312,1296,644,0.1
field015_slide_20260908_113042_253_wbc_0001,<FIELDS>/slide_20260908_113042_253.jpg,crops/field015_slide_20260908_113042_253_wbc_0001.png,0.6185844540596008,0,3627,1450,3921,1717,0.1
field015_slide_20260908_113042_253_wbc_0002,<FIELDS>/slide_20260908_113042_253.jpg,crops/field015_slide_20260908_113042_253_wbc_0002.png,0.49314457178115845,0,2608,1639,2883,1919,0.1
field016_slide_20260908_113052_692_wbc_0000,<FIELDS>/slide_20260908_113052_692.jpg,crops/field016_slide_20260908_113052_692_wbc_0000.png,0.7741369009017944,0,3773,1686,4031,1974,0.1
field017_slide_20260908_113222_950_wbc_0000,<FIELDS>/slide_20260908_113222_950.jpg,crops/field017_slide_20260908_113222_950_wbc_0000.png,0.5967729091644287,0,2652,1515,2919,1756,0.1
field017_slide_20260908_113222_950_wbc_0001,<FIELDS>/slide_20260908_113222_950.jpg,crops/field017_slide_20260908_113222_950_wbc_0001.png,0.5673083662986755,0,1948,893,2201,1137,0.1
field017_slide_20260908_113222_950_wbc_0002,<FIELDS>/slide_20260908_113222_950.jpg,crops/field017_slide_20260908_113222_950_wbc_0002.png,0.5479722023010254,0,1085,1663,1320,1930,0.1
field018_slide_20260908_113250_484_wbc_0000,<FIELDS>/slide_20260908_113250_484.jpg,crops/field018_slide_20260908_113250_484_wbc_0000.png,0.6183896660804749,0,883,2639,1161,2914,0.1
field019_slide_20260908_113315_521_wbc_0000,<FIELDS>/slide_20260908_113315_521.jpg,crops/field019_slide_20260908_113315_521_wbc_0000.png,0.4850524663925171,0,1788,1744,2077,2017,0.1
field020_slide_20260908_113337_794_wbc_0000,<FIELDS>/slide_20260908_113337_794.jpg,crops/field020_slide_20260908_113337_794_wbc_0000.png,0.6520696878433228,0,2455,334,2722,605,0.1
field020_slide_20260908_113337_794_wbc_0001,<FIELDS>/slide_20260908_113337_794.jpg,crops/field020_slide_20260908_113337_794_wbc_0001.png,0.6299097537994385,0,89,873,392,1151,0.1
field021_slide_20260908_113407_595_wbc_0000,<FIELDS>/slide_20260908_113407_595.jpg,crops/field021_slide_20260908_113407_595_wbc_0000.png,0.8566354513168335,0,127,1288,416,1593,0.1
field022_slide_20260908_113428_817_wbc_0000,<FIELDS>/slide_20260908_113428_817.jpg,crops/field022_slide_20260908_113428_817_wbc_0000.png,0.8596232533454895,0,1275,1823,1551,2120,0.1
field022_slide_20260908_113428_817_wbc_0001,<FIELDS>/slide_20260908_113428_817.jpg,crops/field022_slide_20260908_113428_817_wbc_0001.png,0.5360034704208374,0,3737,1402,4006,1686,0.1
field022_slide_20260908_113428_817_wbc_0002,<FIELDS>/slide_20260908_113428_817.jpg,crops/field022_slide_20260908_113428_817_wbc_0002.png,0.5071828365325928,0,1881,1902,2153,2226,0.1
field022_slide_20260908_113428_817_wbc_0003,<FIELDS>/slide_20260908_113428_817.jpg,crops/field022_slide_20260908_113428_817_wbc_0003.png,0.20386631786823273,0,2760,359,3028,661,0.1
