crop_id,source_image,crop_path,score,class_id,x1,y1,x2,y2,padding
field000_slide_20260908_131526_876_wbc_0000,<FIELDS>/slide_20260908_131526_876.jpg,crops/field000_slide_20260908_131526_876_wbc_0000.png,0.833383321762085,0,1664,1963,2033,2362,0.1
field001_slide_20260908_131619_604_wbc_0000,<FIELDS>/slide_20260908_131619_604.jpg,crops/field001_slide_20260908_131619_604_wbc_0000.png,0.7971368432044983,0,314,2023,617,2354,0.1
field002_slide_20260908_131704_716_wbc_0000,<FIELDS>/slide_20260908_131704_716.jpg,crops/field002_slide_20260908_131704_716_wbc_0000.png,0.820754885673523,0,2496,1820,2851,2174,0.1
field003_slide_20260908_131742_429_wbc_0000,<FIELDS>/slide_20260908_131742_429.jpg,crops/field003_slide_20260908_131742_429_wbc_0000.png,0.31380778551101685,0,3028,1775,3374,2181,0.1
field004_slide_20260908_131802_183_wbc_0000,<FIELDS>/slide_20260908_131802_183.jpg,crops/field004_slide_20260908_131802_183_wbc_0000.png,0.7784420847892761,0,293,2331,694,2695,0.1
field005_slide_20260908_132033_914_wbc_0000,<FIELDS>/slide_20260908_132033_914.jpg,crops/field005_slide_20260908_132033_914_wbc_0000.png,0.7687419056892395,0,2777,625,3155,978,0.1
field006_slide_20260908_132401_556_wbc_0000,<FIELDS>/slide_20260908_132401_556.jpg,crops/field006_slide_20260908_132401_556_wbc_0000.png,0.8328074812889099,0,1988,962,2343,1316,0.1
field007_slide_20260908_132702_923_wbc_0000,<FIELDS>/slide_20260908_132702_923.jpg,crops/field007_slide_20260908_132702_923_wbc_0000.png,0.8141874074935913,0,3246,1289,3615,1638,0.1
field007_slide_20260908_132702_923_wbc_0001,<FIELDS>/slide_20260908_132702_923.jpg,crops/field007_slide_20260908_132702_923_wbc_0001.png,0.8001003265380859,0,2992,2180,3368,2560,0.1
field007_slide_20260908_132702_923_wbc_0002,<FIELDS>/slide_20260908_132702_923.jpg,crops/field007_slide_20260908_132702_923_wbc_0002.png,0.7414868474006653,0,1869,532,2207,896,0.1
field008_slide_20260908_134722_055_wbc_0000,<FIELDS>/slide_20260908_134722_055.jpg,crops/field008_slide_20260908_134722_055_wbc_0000.png,0.8092361092567444,0,2410,1813,2783,2165,0.1
field009_slide_20260908_134833_858_wbc_0000,<FIELDS>/slide_20260908_134833_858.jpg,crops/field009_slide_20260908_134833_858_wbc_0000.png,0.7358892560005188,0,1540,57,1881,364,0.1
field010_slide_20260908_134858_562_wbc_0000,<FIELDS>/slide_20260908_134858_562.jpg,crops/field010_slide_20260908_134858_562_wbc_0000.png,0.8167158961296082,0,2726,212,3075,552,0.1
field011_slide_20260908_134940_740_wbc_0000,<FIELDS>/slide_20260908_134940_740.jpg,crops/field011_slide_20260908_134940_740_wbc_0000.png,0.764697790145874,0,3657,241,4031,618,0.1
field012_slide_20260908_135026_060_wbc_0000,<FIELDS>/slide_20260908_135026_060.jpg,crops/field012_slide_20260908_135026_060_wbc_0000.png,0.7319760918617249,0,360,1892,686,2194,0.1
field012_slide_20260908_135026_060_wbc_0001,<FIELDS>/slide_20260908_135026_060.jpg,crops/field012_slide_20260908_135026_060_wbc_0001.png,0.7061077952384949,0,2950,314,3254,607,0.1
field013_slide_20260908_135214_641_wbc_0000,<FIELDS>/slide_20260908_135214_641.jpg,crops/field013_slide_20260908_135214_641_wbc_0000.png,0.8118672966957092,0,2858,2475,3229,2836,0.1
field014_slide_20260908_135242_767_wbc_0000,<FIELDS>/slide_20260908_135242_767.jpg,crops/field014_slide_20260908_135242_767_wbc_0000.png,0.8158213496208191,0,2776,1390,3138,1743,0.1
field015_slide_20260908_135631_953_wbc_0000,<FIELDS>/slide_20260908_135631_953.jpg,crops/field015_slide_20260908_135631_953_wbc_0000.png,0.8182967305183411,0,2014,712,2351,1039,0.1
field016_slide_20260908_135717_992_wbc_0000,<FIELDS>/slide_20260908_135717_992.jpg,crops/field016_slide_20260908_135717_992_wbc_0000.png,0.8018301129341125,0,3700,2234,4031,2673,0.1
field016_slide_20260908_135717_992_wbc_0001,<FIELDS>/slide_20260908_135717_992.jpg,crops/field016_slide_20260908_135717_992_wbc_0001.png,0.7106664180755615,0,2636,289,2908,556,0.1
field017_slide_20260908_135747_946_wbc_0000,<FIELDS>/slide_20260908_135747_946.jpg,crops/field017_slide_20260908_135747_946_wbc_0000.png,0.623744785785675,0,3209,1330,3510,1662,0.1
field018_slide_20260908_135815_212_wbc_0000,<FIELDS>/slide_20260908_135815_212.jpg,crops/field018_slide_20260908_135815_212_wbc_0000.png,0.6814203858375549,0,614,389,939,687,0.1
field019_slide_20260908_135925_610_wbc_0000,<FIELDS>/slide_20260908_135925_610.jpg,crops/field019_slide_20260908_135925_610_wbc_0000.png,0.5700292587280273,0,1524,2344,1909,2738,0.1
field020_slide_20260908_140007_949_wbc_0000,<FIELDS>/slide_20260908_140007_949.jpg,crops/field020_slide_20260908_140007_949_wbc_0000.png,0.6811431646347046,0,154,2552,489,2872,0.1
field021_slide_20260908_140030_634_wbc_0000,<FIELDS>/slide_20260908_140030_634.jpg,crops/field021_slide_20260908_140030_634_wbc_0000.png,0.7841907739639282,0,2194,2326,2580,2712,0.1
field022_slide_20260908_140057_754_wbc_0000,<FIELDS>/slide_20260908_140057_754.jpg,crops/field022_slide_20260908_140057_754_wbc_0000.png,0.8152496814727783,0,3151,2620,3551,3000,0.1
field022_slide_20260908_140057_754_wbc_0001,<FIELDS>/slide_20260908_140057_754.jpg,crops/field022_slide_20260908_140057_754_wbc_0001.png,0.4766829311847687,0,2416,59,2727,358,0.1
field023_slide_20260908_141122_473_wbc_0000,<FIELDS>/slide_20260908_141122_473.jpg,crops/field023_slide_20260908_141122_473_wbc_0000.png,0.8184546828269958,0,2976,256,3353,623,0.1
field023_slide_20260908_141122_473_wbc_0001,<FIELDS>/slide_20260908_141122_473.jpg,crops/field023_slide_20260908_141122_473_wbc_0001.png,0.743428647518158,0,1864,2158,2225,2528,0.1
field024_slide_20260908_141153_469_wbc_0000,<FIELDS>/slide_20260908_141153_469.jpg,crops/field024_slide_20260908_141153_469_wbc_0000.png,0.8413166999816895,0,1087,451,1430,802,0.1
field024_slide_20260908_141153_469_wbc_0001,<FIELDS>/slide_20260908_141153_469.jpg,crops/field024_slide_20260908_141153_469_wbc_0001.png,0.8113282918930054,0,592,1679,971,2038,0.1
field025_slide_20260908_141233_764_wbc_0000,<FIELDS>/slide_20260908_141233_764.jpg,crops/field025_slide_20260908_141233_764_wbc_0000.png,0.7647613286972046,0,3598,449,4017,820,0.1
field026_slide_20260908_142259_072_wbc_0000,<FIELDS>/slide_20260908_142259_072.jpg,crops/field026_slide_20260908_142259_072_wbc_0000.png,0.8242760300636292,0,270,2121,632,2491,0.1
field027_slide_20260908_142330_082_wbc_0000,<FIELDS>/slide_20260908_142330_082.jpg,crops/field027_slide_20260908_142330_082_wbc_0000.png,0.7012572884559631,0,2869,2016,3223,2450,0.1
field028_slide_20260908_142402_458_wbc_0000,<FIELDS>/slide_20260908_142402_458.jpg,crops/field028_slide_20260908_142402_458_wbc_0000.png,0.7841818332672119,0,3692,2122,4031,2463,0.1
field029_slide_20260908_142424_421_wbc_0000,<FIELDS>/slide_20260908_142424_421.jpg,crops/field029_slide_20260908_142424_421_wbc_0000.png,0.7810104489326477,0,2719,1573,3087,1948,0.1
field029_slide_20260908_142424_421_wbc_0001,<FIELDS>/slide_20260908_142424_421.jpg,crops/field029_slide_20260908_142424_421_wbc_0001.png,0.40252795815467834,0,2540,0,2922,250,0.1
field030_slide_20260908_142454_308_wbc_0000,<FIELDS>/slide_20260908_142454_308.jpg,crops/field030_slide_20260908_142454_308_wbc_0000.png,0.7698816657066345,0,2693,2384,3084,2778,0.1
field030_slide_20260908_142454_308_wbc_0001,<FIELDS>/slide_20260908_142454_308.jpg,crops/field030_slide_20260908_142454_308_wbc_0001.png,0.7565227150917053,0,2522,703,2933,1080,0.1
field031_slide_20260908_142733_766_wbc_0000,<FIELDS>/slide_20260908_142733_766.jpg,crops/field031_slide_20260908_142733_766_wbc_0000.png,0.7574629187583923,0,1963,827,2292,1162,0.1
field031_slide_20260908_142733_766_wbc_0001,<FIELDS>/slide_20260908_142733_766.jpg,crops/field031_slide_20260908_142733_766_wbc_0001.png,0.7489891648292542,0,3476,1641,3832,1974,0.1
field031_slide_20260908_142733_766_wbc_0002,<FIELDS>/slide_20260908_142733_766.jpg,crops/field031_slide_20260908_142733_766_wbc_0002.png,0.44747644662857056,0,2617,1053,2909,1298,0.1
field032_slide_20260908_142848_664_wbc_0000,<FIELDS>/slide_20260908_142848_664.jpg,crops/field032_slide_20260908_142848_664_wbc_0000.png,0.8024722337722778,0,730,787,1086,1114,0.1
field033_slide_20260908_142922_706_wbc_0000,<FIELDS>/slide_20260908_142922_706.jpg,crops/field033_slide_20260908_142922_706_wbc_0000.png,0.7523242235183716,0,2465,567,2760,885,0.1
field034_slide_20260908_142949_949_wbc_0000,<FIELDS>/slide_20260908_142949_949.jpg,crops/field034_slide_20260908_142949_949_wbc_0000.png,0.8131110668182373,0,950,1229,1315,1575,0.1
field035_slide_20260908_143047_486_wbc_0000,<FIELDS>/slide_20260908_143047_486.jpg,crops/field035_slide_20260908_143047_486_wbc_0000.png,0.7974016070365906,0,3047,2541,3419,2932,0.1
field035_slide_20260908_143047_486_wbc_0001,<FIELDS>/slide_20260908_143047_486.jpg,crops/field035_slide_20260908_143047_486_wbc_0001.png,0.7641348838806152,0,1520,1451,1852,1783,0.1
field036_slide_20260908_143111_824_wbc_0000,<FIELDS>/slide_20260908_143111_824.jpg,crops/field036_slide_20260908_143111_824_wbc_0000.png,0.7589938640594482,0,2069,846,2455,1181,0.1
field036_slide_20260908_143111_824_wbc_0001,<FIELDS>/slide_20260908_143111_824.jpg,crops/field036_slide_20260908_143111_824_wbc_0001.png,0.5080099701881409,0,1618,2125,2016,2476,0.1
field037_slide_20260908_144609_120_wbc_0000,<FIELDS>/slide_20260908_144609_120.jpg,crops/field037_slide_20260908_144609_120_wbc_0000.png,0.7685562968254089,0,3668,1963,4031,2390,0.1
field038_slide_20260908_144640_015_wbc_0000,<FIELDS>/slide_20260908_144640_015.jpg,crops/field038_slide_20260908_144640_015_wbc_0000.png,0.6425378918647766,0,1489,1972,1750,2254,0.1
field039_slide_20260908_144710_279_wbc_0000,<FIELDS>/slide_20260908_144710_279.jpg,crops/field039_slide_20260908_144710_279_wbc_0000.png,0.8042353987693787,0,2625,2166,3022,2512,0.1
field040_slide_20260908_144744_258_wbc_0000,<FIELDS>/slide_20260908_144744_258.jpg,crops/field040_slide_20260908_144744_258_wbc_0000.png,0.8160532712936401,0,869,1635,1261,2023,0.1
field041_slide_20260908_144924_678_wbc_0000,<FIELDS>/slide_20260908_144924_678.jpg,crops/field041_slide_20260908_144924_678_wbc_0000.png,0.7678716778755188,0,3341,2384,3679,2738,0.1
field041_slide_20260908_144924_678_wbc_0001,<FIELDS>/slide_20260908_144924_678.jpg,crops/field041_slide_20260908_144924_678_wbc_0001.png,0.7509299516677856,0,1960,1275,2222,1567,0.1
field041_slide_20260908_144924_678_wbc_0002,<FIELDS>/slide_20260908_144924_678.jpg,crops/field041_slide_20260908_144924_678_wbc_0002.png,0.7100753784179688,0,2824,2587,3175,2942,0.1
