regime,var,lld_test,x40_all,x40_R,x40_P
exp1_baseline,2class,0.9292515686865543,0.0553,0.0952,0.1493
exp1_baseline,nonone,0.9239658067894181,0.0473,0.0457,0.3214
exp1_baseline,withnone,0.9144034676602862,0.023,0.0546,0.0872
exp2_multisharpness,2class,0.9261039989438797,0.1194,0.1409,0.2388
exp2_multisharpness,nonone,0.9171972543208151,0.386,0.3439,0.568
exp2_multisharpness,withnone,0.9176083520583533,0.1653,0.1726,0.3711
exp3_multidomain,2class,0.9333449573159197,0.2707,0.3129,0.3628
exp3_multidomain,nonone,0.9367643946950653,0.273,0.2868,0.4221
exp3_multidomain,withnone,0.929601613443359,0.201,0.2475,0.3303
exp4_domain_aug,2class,0.9386085894744707,0.2809,0.2703,0.4619
exp4_domain_aug,nonone,0.9343251302258101,0.3555,0.3477,0.5145
exp4_domain_aug,withnone,0.9284711971874371,0.2329,0.264,0.4016
