field,score,tp,iou
slide_20260908_120359_262,0.7606444358825684,1,0.888
slide_20260908_120359_262,0.711020827293396,1,0.86
slide_20260908_120359_262,0.24207507073879242,0,0.0
slide_20260908_120359_262,0.14349539577960968,0,0.0
slide_20260908_120359_262,0.025872334837913513,0,0.0
slide_20260908_120437_110,0.7925128936767578,1,0.734
slide_20260908_120437_110,0.6676846146583557,1,0.859
slide_20260908_120437_110,0.5878663063049316,1,0.796
slide_20260908_120437_110,0.3328483998775482,0,0.0
slide_20260908_120437_110,0.040001656860113144,0,0.0
slide_20260908_120510_174,0.79023677110672,1,0.934
slide_20260908_120510_174,0.731859564781189,1,0.911
slide_20260908_120510_174,0.5922008752822876,1,0.87
slide_20260908_120510_174,0.42836126685142517,1,0.845
slide_20260908_120510_174,0.014924200251698494,0,0.0
slide_20260908_120539_899,0.7264830470085144,1,0.836
slide_20260908_120539_899,0.6657216548919678,1,0.869
slide_20260908_120539_899,0.46617591381073,1,0.808
slide_20260908_120558_695,0.7456042766571045,1,0.857
slide_20260908_120619_584,0.7134820818901062,1,0.865
slide_20260908_120619_584,0.013466591015458107,0,0.0
slide_20260908_120652_019,0.8219649195671082,1,0.792
slide_20260908_120706_280,0.7409464716911316,1,0.857
slide_20260908_120706_280,0.719402551651001,1,0.837
slide_20260908_120706_280,0.6311332583427429,1,0.847
slide_20260908_120724_908,0.8039189577102661,1,0.875
slide_20260908_120738_166,0.7601660490036011,1,0.786
slide_20260908_120738_166,0.7182371616363525,1,0.763
slide_20260908_120800_002,0.7772086262702942,1,0.933
slide_20260908_120800_002,0.6555613875389099,1,0.765
slide_20260908_120848_158,0.7829416990280151,1,0.799
slide_20260908_120928_930,0.7700693011283875,1,0.824
slide_20260908_120928_930,0.44360077381134033,0,0.0
slide_20260908_121013_538,0.602584958076477,1,0.79
slide_20260908_123126_025,0.7949389815330505,1,0.96
slide_20260908_123155_463,0.8583713173866272,1,0.928
slide_20260908_123155_463,0.8145855665206909,1,0.841
slide_20260908_123234_152,0.818248450756073,1,0.868
slide_20260908_123234_152,0.6314836740493774,1,0.836
slide_20260908_123255_739,0.8332090377807617,1,0.859
slide_20260908_123255_739,0.7077280282974243,1,0.895
slide_20260908_123255_739,0.7056362628936768,1,0.869
slide_20260908_123337_792,0.7099141478538513,1,0.759
slide_20260908_123412_896,0.8018951416015625,1,0.91
slide_20260908_123412_896,0.3316347897052765,0,0.0
slide_20260908_123520_515,0.7516525387763977,1,0.89
slide_20260908_123546_279,0.5002081394195557,1,0.77
slide_20260908_123614_357,0.8144696950912476,1,0.843
slide_20260908_123625_129,0.8247277736663818,1,0.878
slide_20260908_123625_129,0.8089722394943237,1,0.869
slide_20260908_123625_129,0.8079455494880676,1,0.688
slide_20260908_123625_129,0.7322333455085754,1,0.773
slide_20260908_123625_129,0.557682991027832,1,0.779
slide_20260908_123625_129,0.14863277971744537,0,0.0
slide_20260908_123625_129,0.07093346118927002,1,0.799
slide_20260908_123646_361,0.865348219871521,1,0.962
slide_20260908_123646_361,0.8191867470741272,1,0.903
slide_20260908_123711_914,0.7947595715522766,1,0.888
slide_20260908_123736_045,0.8497541546821594,1,0.946
slide_20260908_123736_045,0.83502197265625,1,0.945
slide_20260908_123819_538,0.7011983394622803,1,0.776
slide_20260908_123843_472,0.8309983015060425,1,0.894
slide_20260908_123855_321,0.7828837633132935,1,0.741
slide_20260908_123855_321,0.597711980342865,1,0.888
slide_20260908_123922_987,0.7648354172706604,1,0.867
slide_20260908_123922_987,0.7107182741165161,1,0.624
slide_20260908_123922_987,0.5875208377838135,1,0.81
slide_20260908_123942_500,0.7946984767913818,1,0.937
slide_20260908_123942_500,0.6534251570701599,1,0.899
slide_20260908_123942_500,0.1933315545320511,0,0.0
slide_20260908_123954_850,0.7114196419715881,1,0.622
slide_20260908_123954_850,0.6998637914657593,1,0.789
slide_20260908_124015_890,0.7560353875160217,1,0.678
slide_20260908_124015_890,0.5847631096839905,1,0.851
slide_20260908_124015_890,0.4394800066947937,0,0.0
slide_20260908_124015_890,0.34963458776474,1,0.639
