threshold,detections,tp,fp,precision,recall,f1,wbc_per_field_mean,wbc_per_field_sd,wbc_per_field_median,fields_zero_wbc,fields_for_50_wbc_at_mean
0.05,196,169,27,0.8622,0.9883,0.921,1.885,1.211,1.0,0,26.5
0.1,191,167,24,0.8743,0.9766,0.9227,1.837,1.161,1.0,0,27.2
0.15,185,166,19,0.8973,0.9708,0.9326,1.779,1.065,1.0,0,28.1
0.18,183,164,19,0.8962,0.9591,0.9266,1.76,1.079,1.0,1,28.4
0.2,181,164,17,0.9061,0.9591,0.9318,1.74,1.038,1.0,1,28.7
0.25,180,164,16,0.9111,0.9591,0.9345,1.731,1.031,1.0,1,28.9
0.3,180,164,16,0.9111,0.9591,0.9345,1.731,1.031,1.0,1,28.9
0.35,177,163,14,0.9209,0.9532,0.9368,1.702,0.999,1.0,1,29.4
0.4,177,163,14,0.9209,0.9532,0.9368,1.702,0.999,1.0,1,29.4
0.5,167,158,9,0.9461,0.924,0.9349,1.606,0.882,1.0,1,31.1
