nms_iou,conf,precision,recall,f1
0.5,0.0,0.4752,1.0,0.6442
0.5,0.005,0.7396,0.9851,0.8449
0.5,0.01,0.8197,0.9851,0.8948
0.5,0.015,0.8334,0.9851,0.9029
0.5,0.02,0.8501,0.9851,0.9127
0.5,0.025,0.8608,0.9851,0.9187
0.5,0.03,0.8691,0.9851,0.9235
0.5,0.035,0.8781,0.9851,0.9285
0.5,0.04,0.8817,0.9851,0.9306
0.5,0.045,0.8839,0.9851,0.9318
0.5,0.0501,0.8861,0.9851,0.933
0.5,0.0551,0.8883,0.9851,0.9342
0.5,0.0601,0.8905,0.9851,0.9354
0.5,0.0651,0.8951,0.9851,0.9379
0.5,0.0701,0.9033,0.9851,0.9424
0.5,0.0751,0.9048,0.9851,0.9432
0.5,0.0801,0.9056,0.9851,0.9437
0.5,0.0851,0.9063,0.9851,0.9441
0.5,0.0901,0.9071,0.9851,0.9445
0.5,0.0951,0.9079,0.9851,0.9449
0.5,0.1001,0.9087,0.9851,0.9453
0.5,0.1051,0.9094,0.9851,0.9457
0.5,0.1101,0.9102,0.9851,0.9462
0.5,0.1151,0.911,0.9851,0.9466
0.5,0.1201,0.9118,0.9851,0.947
0.5,0.1251,0.9125,0.9851,0.9474
0.5,0.1301,0.9133,0.9851,0.9478
0.5,0.1351,0.9141,0.9851,0.9482
0.5,0.1401,0.9148,0.9851,0.9487
0.5,0.1451,0.9156,0.9851,0.9491
0.5,0.1502,0.9164,0.9851,0.9495
0.5,0.1552,0.9181,0.9851,0.9504
0.5,0.1602,0.9204,0.9851,0.9516
0.5,0.1652,0.9227,0.9851,0.9528
0.5,0.1702,0.9249,0.9851,0.9541
0.5,0.1752,0.9272,0.9851,0.9553
0.5,0.1802,0.9295,0.9851,0.9565
0.5,0.1852,0.9296,0.9848,0.9564
0.5,0.1902,0.9295,0.9845,0.9562
0.5,0.1952,0.9295,0.9842,0.9561
0.5,0.2002,0.9295,0.9838,0.9559
0.5,0.2052,0.9295,0.9835,0.9557
0.5,0.2102,0.9295,0.9832,0.9556
0.5,0.2152,0.9294,0.9829,0.9554
0.5,0.2202,0.9294,0.9826,0.9553
0.5,0.2252,0.9294,0.9823,0.9551
0.5,0.2302,0.9294,0.982,0.955
0.5,0.2352,0.9293,0.9817,0.9548
0.5,0.2402,0.9293,0.9814,0.9546
0.5,0.2452,0.9293,0.9811,0.9545
0.5,0.2503,0.9293,0.9807,0.9543
0.5,0.2553,0.9293,0.9804,0.9542
